State,Democratic Vote,Democratic EV,Republican Vote,Republican EV,Other Vote
Alabama,551899,0,872849,9,16965
Alaska,62007,0,138377,3,7221
Arizona,333854,0,681416,7,10627
Arkansas,338646,0,534774,6,10986
California,3922519,0,5467009,47,115895
Colorado,454974,0,821818,8,18589
Connecticut,569597,0,890877,8,6426
Delaware,101656,0,152190,3,726
District of Columbia,180408,3,29009,0,1871
Florida,1448816,0,2730350,21,885
Georgia,706628,0,1068722,12,743
Hawaii,147154,0,185050,4,3642
Idaho,108510,0,297523,4,5111
Illinois,2086499,0,2707103,24,25486
Indiana,841481,0,1377230,12,14358
Iowa,605620,0,703088,8,11097
Kansas,333149,0,677296,7,11546
Kentucky,539589,0,822782,9,8090
Louisiana,651586,0,1037299,10,17937
Maine,214515,0,336500,2,2129
ME-1,117450,0,175472,1,-1
ME-2,97065,0,161028,1,-1
Maryland,787935,0,879918,10,8020
Massachusetts,1239606,0,1310936,13,8911
Michigan,1529638,0,2251571,20,20449
Minnesota,1036364,10,1032603,0,15482
Mississippi,352192,0,581477,7,6523
Missouri,848583,0,1274188,11,0
Montana,146742,0,232450,4,5185
Nebraska,187866,0,460054,5,4170
Nevada,91655,0,188770,4,6242
New Hampshire,120395,0,267051,4,1508
New Jersey,1261323,0,1933630,16,22909
New Mexico,201769,0,307101,5,5500
New York,3119609,0,3664763,36,22438
North Carolina,824287,0,1346481,13,4593
North Dakota,104429,0,200336,3,4206
Ohio,1825440,0,2678560,23,43619
Oklahoma,385080,0,861530,8,9066
Oregon,536479,0,685700,7,4348
Pennsylvania,2228131,0,2584323,25,32449
Rhode Island,197106,0,212080,4,1306
South Carolina,344470,0,615539,8,8531
South Dakota,116113,0,200267,3,1487
Tennessee,711714,0,990212,11,10067
Texas,1949276,0,3433428,29,14867
Utah,155369,0,469105,5,5182
Vermont,95730,0,135865,3,2966
Virginia,796250,0,1337078,12,13307
Washington,807352,0,1051670,10,24888
West Virginia,328125,0,405483,6,2134
Wisconsin,995847,0,1198800,11,17369
Wyoming,53370,0,133241,3,2357
