State,Democratic Vote,Democratic EV,Republican Vote,Republican EV,Other Vote
Alabama,636730,0,654192,9,51007
Alaska,41842,0,86112,3,30491
Arizona,246843,0,529688,6,97414
Arkansas,398041,0,403164,6,36377
California,3083661,0,4524858,45,978544
Colorado,367973,0,652264,7,164178
Connecticut,541732,0,677210,8,187343
Delaware,105754,0,111252,3,18662
District of Columbia,130231,3,23313,0,20345
Florida,1419475,0,2046951,17,220600
Georgia,890733,12,654168,0,52566
Hawaii,135879,4,130112,0,37296
Idaho,110192,0,290699,4,36540
Illinois,1981413,0,2358049,26,410259
Indiana,844197,0,1255656,13,142180
Iowa,508672,0,676026,8,132963
Kansas,326150,0,566812,7,86833
Kentucky,616417,0,635274,9,42936
Louisiana,708453,0,792853,10,47285
Maine,220974,0,238522,2,63515
ME-1,117613,0,126274,1,30889
ME-2,103361,0,112248,1,22438
Maryland,726161,10,680606,0,133729
Massachusetts,1053802,0,1057631,14,412865
Michigan,1661532,0,1915225,21,332968
Minnesota,954174,10,873241,0,224538
Mississippi,429281,0,441089,7,22250
Missouri,931182,0,1074181,12,94461
Montana,118032,0,206814,4,39106
Nebraska,166851,0,419937,5,54066
Nevada,66666,0,155017,3,26202
New Hampshire,108864,0,221705,4,53430
New Jersey,1147364,0,1546557,17,281763
New Mexico,167826,0,250779,4,37632
New York,2728372,0,2893831,41,579756
North Carolina,875635,0,915018,13,65180
North Dakota,79189,0,193695,3,28661
Ohio,1752414,0,2206545,25,324644
Oklahoma,402026,0,695570,8,52112
Oregon,456890,0,571044,6,153582
Pennsylvania,1937540,0,2261872,27,362089
Rhode Island,198342,4,154793,0,62937
South Carolina,427560,0,441207,8,21316
South Dakota,103855,0,198343,4,25505
Tennessee,783051,0,787761,10,46804
Texas,1881147,0,2510705,26,149785
Utah,124266,0,439687,4,40269
Vermont,81891,0,94598,3,36718
Virginia,752174,0,989609,12,124249
Washington,650193,0,865244,9,226957
West Virginia,367462,6,334206,0,36047
Wisconsin,981584,0,1088845,11,202792
Wyoming,49427,0,110700,3,16586
