State,Democratic Vote,Democratic EV,Republican Vote,Republican EV,Other Vote
Alabama,690080,0,804283,9,193697
Alaska,78294,0,102000,3,78212
Arizona,543050,0,572086,8,371839
Arkansas,505823,6,337324,0,107506
California,5121325,54,3630574,0,2379822
Colorado,629681,8,562850,0,376649
Connecticut,682318,8,578313,0,355701
Delaware,126055,3,102313,0,61367
District of Columbia,192619,3,20698,0,14255
Florida,2072798,0,2173310,25,1068384
Georgia,1008966,13,995252,0,316907
Hawaii,179310,4,136822,0,56710
Idaho,137013,0,202645,4,142484
Illinois,2453350,22,1734096,0,862711
Indiana,848420,0,989375,12,468076
Iowa,586353,7,504891,0,263363
Kansas,390434,0,449951,6,316851
Kentucky,665104,8,617178,0,210618
Louisiana,815971,9,733386,0,240660
Maine,263420,2,206504,0,209575
ME-1,145191,1,115697,0,102828
ME-2,118229,1,90807,0,103992
Maryland,988571,10,707094,0,289381
Massachusetts,1318639,12,805039,0,649986
Michigan,1871182,18,1554940,0,848551
Minnesota,1020997,10,747841,0,579109
Mississippi,400258,0,487793,7,93742
Missouri,1053873,11,811159,0,526533
Montana,154507,3,144207,0,111897
Nebraska,217344,0,344346,2,177593
NE-1,80696,0,107081,1,59974
NE-2,78701,0,115255,1,48657
NE-3,57467,0,121342,1,65473
Nevada,189148,4,175828,0,141342
New Hampshire,209040,4,202484,0,126421
New Jersey,1436206,15,1356865,0,550523
New Mexico,261617,5,212824,0,95545
New York,3444450,33,2346649,0,1135834
North Carolina,1114042,0,1134661,14,363147
North Dakota,99168,0,136244,3,72721
Ohio,1984942,21,1894310,0,1060712
Oklahoma,473066,0,592929,8,324364
Oregon,621314,7,475757,0,365572
Pennsylvania,2239164,23,1791841,0,928805
Rhode Island,213302,4,131601,0,108575
South Carolina,479514,0,577507,8,145506
South Dakota,124888,0,136718,3,74648
Tennessee,933521,11,841300,0,207817
Texas,2281815,0,2496071,32,1376132
Utah,183429,0,322632,5,237938
Vermont,133592,3,88122,0,67987
Virginia,1038650,0,1150517,13,369498
Washington,993039,11,731235,0,563954
West Virginia,331001,5,241974,0,110702
Wisconsin,1041066,11,930855,0,559193
Wyoming,68160,0,79347,3,53080
