State,Democratic Vote,Democratic EV,Republican Vote,Republican EV,Other Vote
Alabama,662165,0,769044,9,103140
Alaska,80380,0,122746,3,38494
Arizona,653288,8,622073,0,129044
Arkansas,475171,6,325416,0,83675
California,5119835,54,3828380,0,1071269
Colorado,671152,0,691848,8,147704
Connecticut,735740,8,483109,0,173765
Delaware,140355,3,99062,0,31428
District of Columbia,158220,3,17339,0,10167
Florida,2546870,25,2244536,0,512388
Georgia,1053849,0,1080843,13,164379
Hawaii,205012,4,113943,0,41165
Idaho,165443,0,256595,4,69681
Illinois,2341744,22,1587021,0,382626
Indiana,887424,0,1006693,12,241725
Iowa,620258,7,492644,0,121173
Kansas,387659,0,583245,6,103396
Kentucky,636614,8,623283,0,128811
Louisiana,927837,9,712586,0,143536
Maine,312788,2,186378,0,106731
ME-1,165053,1,100851,0,51217
ME-2,147735,1,85527,0,55514
Maryland,966207,10,681530,0,133133
Massachusetts,1571763,12,718107,0,266916
Michigan,1989653,18,1481212,0,377979
Minnesota,1120438,10,766476,0,305726
Mississippi,394022,0,439838,7,59997
Missouri,1025935,11,890016,0,242114
Montana,167922,0,179652,3,59687
Nebraska,236761,0,363467,2,77187
NE-1,87713,0,114560,1,28047
NE-2,84666,0,116892,1,21099
NE-3,64382,0,132015,1,28028
Nevada,203974,4,199244,0,61061
New Hampshire,246214,4,196532,0,56429
New Jersey,1652329,15,1103078,0,320400
New Mexico,273495,5,232751,0,49828
New York,3756177,33,1933492,0,626460
North Carolina,1107849,0,1225938,14,182020
North Dakota,106905,0,125050,3,34456
Ohio,2148222,21,1859883,0,526329
Oklahoma,488105,0,582315,8,136293
Oregon,649641,7,538152,0,189967
Pennsylvania,2215819,23,1801169,0,489130
Rhode Island,233050,4,104683,0,52551
South Carolina,506283,0,573458,8,71948
South Dakota,139333,0,150543,3,33950
Tennessee,909146,11,863530,0,121429
Texas,2459683,0,2736167,32,415794
Utah,221633,0,361911,5,82085
Vermont,137894,3,80352,0,40203
Virginia,1091060,0,1138350,13,187232
Washington,1123323,11,840712,0,289802
West Virginia,327812,5,233946,0,74701
Wisconsin,1071971,11,845029,0,279169
Wyoming,77934,0,105388,3,28249
