State,Democratic Vote,Democratic EV,Republican Vote,Republican EV,Other Vote
Alabama,729547,0,1318255,9,31103
Alaska,116454,0,163387,3,20042
Arizona,1161167,0,1252401,11,84762
Arkansas,380494,0,684872,6,35361
California,8753788,55,4483810,0,465497
Colorado,1338870,9,1202484,0,94772
Connecticut,897572,7,673215,0,25457
Delaware,235603,3,185127,0,8327
District of Columbia,282830,3,12723,0,10809
Florida,4504975,0,4617886,29,90135
Georgia,1877963,0,2089104,16,22359
Hawaii,266891,4,128847,0,17245
Idaho,189765,0,409055,4,63104
Illinois,3090729,20,2146015,0,90084
Indiana,1033126,0,1557286,11,10553
Iowa,653669,0,800983,6,52193
Kansas,427005,0,671018,6,30973
Kentucky,628854,0,1202971,8,38572
Louisiana,780154,0,1178638,8,32262
Maine,357735,2,335593,0,16494
ME-1,212774,1,154384,0,8579
ME-2,144817,0,181177,1,7912
Maryland,1677928,10,943169,0,80744
Massachusetts,1995196,11,1090893,0,100939
Michigan,2268839,0,2279543,16,78766
Minnesota,1367716,10,1322951,0,141174
Mississippi,485131,0,700714,6,9077
Missouri,1071068,0,1594511,10,45667
Montana,177709,0,279240,3,12161
Nebraska,284494,0,495961,2,24826
NE-1,100132,0,158642,1,9555
NE-2,131030,0,137564,1,9841
NE-3,53332,0,199755,1,5505
Nevada,539260,6,512058,0,36683
New Hampshire,348526,4,345790,0,19203
New Jersey,2148278,14,1601933,0,51358
New Mexico,385234,5,319667,0,18877
New York,4556124,29,2819534,0,169197
North Carolina,2189316,0,2362631,15,59491
North Dakota,93758,0,216794,3,12374
Ohio,2394164,0,2841005,18,86820
Oklahoma,420375,0,949136,7,0
Oregon,1002106,7,782403,0,122596
Pennsylvania,2926441,0,2970733,20,121589
Rhode Island,252525,4,180543,0,16330
South Carolina,855373,0,1155389,9,43061
South Dakota,117458,0,227721,3,4064
Tennessee,870695,0,1522925,11,44010
Texas,3877868,0,4685047,38,122819
Utah,310676,0,515231,6,265915
Vermont,178573,3,95369,0,31047
Virginia,1981473,13,1769443,0,115441
Washington,1742718,12,1221747,0,191675
West Virginia,188794,0,489371,5,13254
Wisconsin,1382536,0,1405284,10,81656
Wyoming,55973,0,174419,3,12170
